Scenario,Run 1,Run 2,Run 3,Average Time
S1,12450.322,5701.782,6140.364,8097.4893
S2,6167.324,5859.226,5938.62,5988.39
S3,5944.361,5066.578,5509.426,5506.7883
S4,6811.567,5887.733,6326.505,6341.935
S5,6624.841,6478.333,6452.636,6518.6033
